__metal_builtin,used_via,n_call_sites,air_intrinsic_candidate,evidence,status,stdlib_sample,evidence_source,evidence_ref,protocol,confidence,grammar_eligible,probe_cell,observed_at,verified_at,verified_by,last_change,changed_by
__metal_cospi,free+method,30,air.cospi.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:80: return __metal_cospi(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_ctz,free+method,48,air.ctz.i32,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_integer:35: return __metal_ctz(x);,apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_depth_2d_array_t,method,3,air.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_array:2187: __metal_depth_2d_array_t t;,this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,high,yes,__metal_depth_2d_array_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_depth_2d_ms_array_t,method,3,air.depth.2d.ms.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms_array:651: __metal_depth_2d_ms_array_t t;,this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,high,yes,__metal_depth_2d_ms_array_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_depth_2d_ms_t,method,3,air.depth.2d.ms.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms:620: __metal_depth_2d_ms_t t;,this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,high,yes,__metal_depth_2d_ms_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_depth_2d_t,method,3,air.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d:2157: __metal_depth_2d_t t;,this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,high,yes,__metal_depth_2d_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_depth_cube_array_t,method,3,air.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube_array:2176: __metal_depth_cube_array_t t;,this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,high,yes,__metal_depth_cube_array_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_depth_cube_t,method,3,air.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube:2159: __metal_depth_cube_t t;,this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,high,yes,__metal_depth_cube_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_depth_stencil_state_t,method,1,air.depth.stencil.state.t,inferred,🧪命名規則からの推測 (probe必須),metal_command_buffer:790: __metal_depth_stencil_state_t s;,this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,high,yes,__metal_depth_stencil_state_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_descriptor_size_tensor,no_callsite,1,air.get_descriptor_size_tensor,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (run12 -O0: [[sizeas]] → MTL_SIZEAS → air.get_descriptor_size_tensor),"metal_tensor:1799: [[sizeas(__metal_descriptor_size_tensor(__tensor_detail::__tensor_safe_extents<EXTENTS_TYPE>::rank(),",xcode_probe_golden,"golden/run12_apply/P10T/metal40_macosx26/probe.ll MTL_SIZEAS helper 内: call i16 @air.get_descriptor_size_tensor(i16 rank, i16 4) (-O0 variant)",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_descriptor_size_tensor,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T05:00Z,agent
__metal_dfdx,method,12,air.dfdx.f16,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),metal_graphics:17: return __metal_dfdx(p);,xcode_probe_golden,golden/P07F/metal32_macosx26/probe.ll @probe_p07f_dfdx_0: %1 = tail call fast half @air.dfdx.f16(half 0xH3C00) #8,P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_dfdx,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:59Z,promote_map.py@1.0.0
__metal_dfdy,method,12,air.dfdy.f16,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),metal_graphics:21: return __metal_dfdy(p);,xcode_probe_golden,golden/P07F/metal32_macosx26/probe.ll @probe_p07f_dfdy_1: %1 = tail call fast half @air.dfdy.f16(half 0xH3C00) #8,P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_dfdy,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:59Z,promote_map.py@1.0.0
__metal_discard_fragment,method,1,air.discard_fragment,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),metal_graphics:184: __metal_discard_fragment();,xcode_probe_golden,golden/P07F/metal32_macosx26/probe.ll @probe_p07f_discard_fragment_2: tail call void @air.discard_fragment() #9,P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_discard_fragment,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:00Z,promote_map.py@1.0.0
__metal_divide,free+method,30,air.divide,inferred,🧪命名規則からの推測 (probe必須),"metal_math:86: return __metal_divide(x, y, __METAL_FAST_MATH__);",this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,medium,yes,__metal_divide,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_dot,free+method,15,air.dot.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_geometric:54: return __metal_dot(x, y);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_draw_indexed_patches_render_command,method,16,air.draw_indexed_patches_render_command.p1i32.p1i8.p1i8,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_command_buffer:1018: __metal_draw_indexed_patches_render_command(icb, icb_index, num_patch_control_points, patch_s",xcode_probe_golden,"golden/P11M/metal40_macosx26/probe.ll @probe_p11m_draw3_28: tail call void @air.draw_indexed_patches_render_command.p1i32.p1i8.p1i8(%struct._command_buffer_t addrspace(1)* nocapture %0, i32 0, i32 0, i32 0, i32 0, i32 ad",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_draw_indexed_patches_render_command,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T04:39Z,promote_map.py@1.0.0
__metal_draw_indexed_primitives_render_command,method,2,air.draw_indexed_primitives_render_command.p1i32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_command_buffer:953: __metal_draw_indexed_primitives_render_command(icb, icb_index, uint(type), index_count, index_",xcode_probe_golden,"golden/P11M/metal40_macosx26/probe.ll @probe_p11m_draw1_26: tail call void @air.draw_indexed_primitives_render_command.p1i32(%struct._command_buffer_t addrspace(1)* nocapture %0, i32 0, i32 3, i32 0, i32 addrspace(1)* nu",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_draw_indexed_primitives_render_command,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T04:39Z,promote_map.py@1.0.0
__metal_draw_mesh_threadgroups_render_command,method,1,air.draw_mesh_threadgroups_render_command,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_command_buffer:1122: __metal_draw_mesh_threadgroups_render_command(icb, icb_index, threadgroups_per_grid, threads_",xcode_probe_golden,"golden/P08M40/metal40_macosx26/probe.ll @probe_p08m_rc_10: tail call void @air.draw_mesh_threadgroups_render_command(%struct._command_buffer_t addrspace(1)* nocapture undef, i32 0, <3 x i32> zeroinitializer, <3 x i32> z",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_draw_mesh_threadgroups_render_command,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:23Z,promote_map.py@1.0.0
__metal_draw_mesh_threads_render_command,method,1,air.draw_mesh_threads_render_command,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_command_buffer:1127: __metal_draw_mesh_threads_render_command(icb, icb_index, threads_per_grid, threads_per_object",xcode_probe_golden,"golden/P08M40/metal40_macosx26/probe.ll @probe_p08m_rc_11: tail call void @air.draw_mesh_threads_render_command(%struct._command_buffer_t addrspace(1)* nocapture undef, i32 0, <3 x i32> zeroinitializer, <3 x i32> zeroin",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_draw_mesh_threads_render_command,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:23Z,promote_map.py@1.0.0
__metal_draw_patches_render_command,method,8,air.draw_patches_render_command.p1i32.p1i8,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_command_buffer:965: __metal_draw_patches_render_command(icb, icb_index, num_patch_control_points, patch_start, pat",xcode_probe_golden,"golden/P11M/metal40_macosx26/probe.ll @probe_p11m_draw2_27: tail call void @air.draw_patches_render_command.p1i32.p1i8(%struct._command_buffer_t addrspace(1)* nocapture %0, i32 0, i32 0, i32 0, i32 0, i32 addrspace(1)* n",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_draw_patches_render_command,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T04:39Z,promote_map.py@1.0.0
__metal_draw_primitives_render_command,method,1,air.draw_primitives_render_command,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_command_buffer:947: __metal_draw_primitives_render_command(icb, icb_index, uint(type), vertex_start, vertex_count,",xcode_probe_golden,"golden/P08M40/metal40_macosx26/probe.ll @probe_p08m_rc_12: tail call void @air.draw_primitives_render_command(%struct._command_buffer_t addrspace(1)* nocapture undef, i32 0, i32 3, i32 0, i32 0, i32 0, i32 0) #11",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_draw_primitives_render_command,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:23Z,promote_map.py@1.0.0
__metal_exp,free+method,30,air.exp.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:91: return __metal_exp(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_exp10,free+method,30,air.exp10.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:95: return __metal_exp10(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_exp2,free+method,30,air.exp2.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:99: return __metal_exp2(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_extract_bits,free+method,48,air.extract_bits.s.i8,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_integer:40: return __metal_extract_bits(x, offset, bits);",xcode_probe_golden,"golden/P04/metal32_macosx26/probe.ll @probe_p04_extract_bits: %4 = tail call i8 @air.extract_bits.s.i8(i8 %0, i32 %1, i32 %2) #2",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_extract_bits,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:40Z,promote_map.py@1.0.0
__metal_fabs,free+method,60,air.fabs.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:26: return __metal_fabs(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_fence_texture_1d_array_t,method,6,air.fence_texture_1d_array,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texture1d_array:1518: __metal_fence_texture_1d_array_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_64: tail call void @air.fence_texture_1d_array(%struct._texture_1d_array_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_fence_texture_1d_t,method,6,air.fence_texture_1d,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texture1d:1517: __metal_fence_texture_1d_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_65: tail call void @air.fence_texture_1d(%struct._texture_1d_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_fence_texture_2d_array_t,method,6,air.fence_texture_2d_array,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texture2d_array:2175: __metal_fence_texture_2d_array_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_66: tail call void @air.fence_texture_2d_array(%struct._texture_2d_array_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_fence_texture_2d_t,method,6,air.fence_texture_2d,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texture2d:2185: __metal_fence_texture_2d_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_67: tail call void @air.fence_texture_2d(%struct._texture_2d_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_fence_texture_3d_t,method,6,air.fence_texture_3d,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texture3d:2071: __metal_fence_texture_3d_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_68: tail call void @air.fence_texture_3d(%struct._texture_3d_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_fence_texture_buffer_1d_t,method,6,air.fence_texture_buffer_1d,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texture_buffer:1182: __metal_fence_texture_buffer_1d_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_69: tail call void @air.fence_texture_buffer_1d(%struct._texture_buffer_1d_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_fence_texture_cube_array_t,method,6,air.fence_texture_cube_array,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texturecube_array:2194: __metal_fence_texture_cube_array_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_70: tail call void @air.fence_texture_cube_array(%struct._texture_cube_array_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_fence_texture_cube_t,method,6,air.fence_texture_cube,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),__bits/metal_texturecube:2204: __metal_fence_texture_cube_t(derived.t);,xcode_probe_golden,golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_fence_71: tail call void @air.fence_texture_cube(%struct._texture_cube_t addrspace(1)* nocapture %0) #12,P-AC1+P-MN1+P-XC1,confirmed,yes,,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_floor,free+method,30,air.floor.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:113: return __metal_floor(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_fma,free+method,30,air.fma.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:118: return __metal_fma(x, y, z);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_fmax,free+method,60,air.fmax.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:123: return __metal_fmax(x, y, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_fmax3,free+method,60,air.fast_fmax3.f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_math:128: return __metal_fmax3(x, y, z, __METAL_FAST_MATH__);",xcode_probe_golden,"golden/P03/metal32_macosx26/probe.ll @probe_p03_fmax3: %4 = tail call fast float @air.fast_fmax3.f32(float %0, float %1, float %2) #6",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_fmax3,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:40Z,promote_map.py@1.0.0
__metal_fmedian3,free+method,60,air.fast_fmedian3.f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_math:134: return __metal_fmedian3(x, y, z, __METAL_FAST_MATH__);",xcode_probe_golden,"golden/P03/metal32_macosx26/probe.ll @probe_p03_fmedian3: %4 = tail call fast float @air.fast_fmedian3.f32(float %0, float %1, float %2) #6",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_fmedian3,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:40Z,promote_map.py@1.0.0
__metal_fmin,free+method,60,air.fmin.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:139: return __metal_fmin(x, y, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_fmin3,free+method,60,air.fast_fmin3.f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"metal_math:144: return __metal_fmin3(x, y, z, __METAL_FAST_MATH__);",xcode_probe_golden,"golden/P03/metal32_macosx26/probe.ll @probe_p03_fmin3: %4 = tail call fast float @air.fast_fmin3.f32(float %0, float %1, float %2) #6",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_fmin3,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:40Z,promote_map.py@1.0.0
__metal_fmod,free+method,30,air.fmod.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:149: return __metal_fmod(x, y, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_fract,free+method,30,air.fract.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:153: return __metal_fract(x, __METAL_FAST_MATH__);",apple_rtlib_ir,data/ir_air_signatures.csv (C-4: rtlib bitcode 全文 parse),P-IR1+P-MN1,confirmed,yes,,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_frexp,free+method,30,rtlib:___metal_frexp_float_pthreadint32,rtlib_layer_backing,✅実機 Xcode 生成 IR で rtlib helper 下降を確認,"metal_math:157: return __metal_frexp(x, &exp);",xcode_probe_golden,"golden/P07F40v4/metal40_macosx26/probe.ll @probe_p07f_frexp_13: %3 = call fast float @___metal_frexp_float_pthreadint32(float 1.000000e+00, i32* nonnull %1) #8",P-GR1+P-MN1+P-XRT1,confirmed,no,__metal_frexp,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T03:26Z,promote_map.py@1.0.0
__metal_function_handle_t,method,4,air.function.handle.t,inferred,🧪命名規則からの推測 (probe必須),metal_visible_function_table:18: static METAL_FUNC function_handle __get_from_opaque_handle(__metal_function_handle_t f),this_repo_inference,docs/AIR_VOCABULARY.md (AIR 命名文法),P-GR1+P-MN1,medium,yes,__metal_function_handle_t,,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:10Z,migrate_map_v2.py@1.0.0
__metal_fwidth,method,12,air.fwidth.f16,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (golden corpus),metal_graphics:25: return __metal_fwidth(p);,xcode_probe_golden,golden/P07F/metal32_macosx26/probe.ll @probe_p07f_fwidth_3: %1 = tail call fast half @air.fwidth.f16(half 0xH3C00) #8,P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_fwidth,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:59Z,promote_map.py@1.0.0
__metal_gather_compare_depth_2d_array_t,method,12,air.gather_compare_depth_2d_array.f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"__bits/metal_depth2d_array:1670: return __metal_gather_compare_depth_2d_array_t(derived.t, s.val, coord, array, compare_",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_gather_compare_122: %3 = tail call { <4 x float>, i8 } @air.gather_compare_depth_2d_array.f32(%struct._depth_2d_array_t addrspace(1)* nocapture readonly %0, %struct._sampler_t addr",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_gather_compare_depth_2d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:54Z,promote_map.py@1.0.0
__metal_gather_compare_depth_2d_t,method,12,air.gather_compare_depth_2d.f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"__bits/metal_depth2d:1670: return __metal_gather_compare_depth_2d_t(derived.t, s.val, coord, compare_value, true, offset",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_gather_compare_72: %3 = tail call { <4 x float>, i8 } @air.gather_compare_depth_2d.f32(%struct._depth_2d_t addrspace(1)* nocapture readonly %0, %struct._sampler_t addrspace(2)* no",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_gather_compare_depth_2d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_gather_compare_depth_cube_array_t,method,12,air.gather_compare_depth_cube_array.f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"__bits/metal_depthcube_array:1659: return __metal_gather_compare_depth_cube_array_t(derived.t, s.val, coord, array, comp",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_sparse_gather_compare_73: %3 = tail call { <4 x float>, i8 } @air.gather_compare_depth_cube_array.f32(%struct._depth_cube_array_t addrspace(1)* nocapture readonly %0, %struct._sampler_t ",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_gather_compare_depth_cube_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
__metal_gather_compare_depth_cube_t,method,12,air.gather_compare_depth_cube.f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"__bits/metal_depthcube:1672: return __metal_gather_compare_depth_cube_t(derived.t, s.val, coord, compare_value, int(a), ",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_gather_compare_125: %3 = tail call { <4 x float>, i8 } @air.gather_compare_depth_cube.f32(%struct._depth_cube_t addrspace(1)* nocapture readonly %0, %struct._sampler_t addrspace(2)",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_gather_compare_depth_cube_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:54Z,promote_map.py@1.0.0
__metal_gather_depth_2d_array_t,method,12,air.gather_depth_2d_array.v4f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"__bits/metal_depth2d_array:1571: return __metal_gather_depth_2d_array_t(derived.t, s.val, coord, array, true, offset, in",xcode_probe_golden,"golden/P06M/metal32_macosx26/probe.ll @probe_p06m_gather_126: %3 = tail call { <4 x float>, i8 } @air.gather_depth_2d_array.v4f32(%struct._depth_2d_array_t addrspace(1)* nocapture readonly %0, %struct._sampler_t addrspace(",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_gather_depth_2d_array_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T01:54Z,promote_map.py@1.0.0
__metal_gather_depth_2d_t,method,12,air.gather_depth_2d.v4f32,probed_xcode_ll,✅実機 Xcode 生成 IR で確認 (命名訂正: 実名確定),"__bits/metal_depth2d:1571: return __metal_gather_depth_2d_t(derived.t, s.val, coord, true, offset, int(a), static_cast<t",xcode_probe_golden,"golden/P06M40/metal40_macosx26/probe.ll @probe_p06m_gather_74: %3 = tail call { <4 x float>, i8 } @air.gather_depth_2d.v4f32(%struct._depth_2d_t addrspace(1)* nocapture readonly %0, %struct._sampler_t addrspace(2)* nocaptur",P-GR1+P-MN1+P-XC1,confirmed,yes,__metal_gather_depth_2d_t,2026-07-21,2026-07-21,promote_map.py@1.0.0,2026-07-21T02:27Z,promote_map.py@1.0.0
