__metal_builtin,used_via,n_call_sites,air_intrinsic_candidate,evidence,status,stdlib_sample
__metal_atomic_max_explicit_texture_3d_t,method,12,air.atomic_max_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1910: __metal_atomic_max_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand, __METAL_MEM"
__metal_atomic_max_explicit_texture_buffer_1d_t,method,12,air.atomic_max_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:1022: __metal_atomic_max_explicit_texture_buffer_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_max_explicit_texture_cube_array_t,method,12,air.atomic_max_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:2031: __metal_atomic_max_explicit_texture_cube_array_t(derived.t, coord, face, array, ope"
__metal_atomic_max_explicit_texture_cube_t,method,12,air.atomic_max_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:2041: __metal_atomic_max_explicit_texture_cube_t(derived.t, coord, face, operand, __METAL_MEMOR"
__metal_atomic_min_explicit,method,1,air.atomic.min,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:680: __metal_atomic_min_explicit(&object->__s, T(operand), int(order), __METAL_MEMORY_SCOPE_DEVICE__);"
__metal_atomic_min_explicit_texture_1d_array_t,method,12,air.atomic_min_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:1361: __metal_atomic_min_explicit_texture_1d_array_t(derived.t, coord, array, operand, __ME"
__metal_atomic_min_explicit_texture_1d_t,method,12,air.atomic_min_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:1361: __metal_atomic_min_explicit_texture_1d_t(derived.t, coord, operand, __METAL_MEMORY_ORDER_RE"
__metal_atomic_min_explicit_texture_2d_array_t,method,12,air.atomic_min_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:2022: __metal_atomic_min_explicit_texture_2d_array_t(derived.t, coord, array, ushort2(0), o"
__metal_atomic_min_explicit_texture_2d_t,method,12,air.atomic_min_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:2032: __metal_atomic_min_explicit_texture_2d_t(derived.t, coord, ushort2(0), operand, __METAL_MEM"
__metal_atomic_min_explicit_texture_3d_t,method,12,air.atomic_min_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1920: __metal_atomic_min_explicit_texture_3d_t(derived.t, coord, ushort3(0), operand, __METAL_MEM"
__metal_atomic_min_explicit_texture_buffer_1d_t,method,12,air.atomic_min_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:1027: __metal_atomic_min_explicit_texture_buffer_1d_t(derived.t, coord, operand, __METAL_MEM"
__metal_atomic_min_explicit_texture_cube_array_t,method,12,air.atomic_min_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:2036: __metal_atomic_min_explicit_texture_cube_array_t(derived.t, coord, face, array, ope"
__metal_atomic_min_explicit_texture_cube_t,method,12,air.atomic_min_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:2046: __metal_atomic_min_explicit_texture_cube_t(derived.t, coord, face, operand, __METAL_MEMOR"
__metal_atomic_store_explicit,method,2,air.atomic.store,inferred,🧪命名規則からの推測 (probe必須),"metal_atomic:194: __metal_atomic_store_explicit(&object->__s, decltype(object->__s)(desired), int(order), __METAL_MEMORY"
__metal_atomic_store_explicit_texture_1d_array_t,method,12,air.atomic_store_explicit_texture_1d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d_array:656: __metal_atomic_store_explicit_texture_1d_array_t(derived.t, color, coord, array, __MET"
__metal_atomic_store_explicit_texture_1d_t,method,12,air.atomic_store_explicit_texture_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture1d:656: __metal_atomic_store_explicit_texture_1d_t(derived.t, color, coord, __METAL_MEMORY_ORDER_REL"
__metal_atomic_store_explicit_texture_2d_array_t,method,12,air.atomic_store_explicit_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:1312: __metal_atomic_store_explicit_texture_2d_array_t(derived.t, color, coord, array, usho"
__metal_atomic_store_explicit_texture_2d_t,method,12,air.atomic_store_explicit_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:1324: __metal_atomic_store_explicit_texture_2d_t(derived.t, color, coord, ushort2(0), __METAL_MEM"
__metal_atomic_store_explicit_texture_3d_t,method,12,air.atomic_store_explicit_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:1210: __metal_atomic_store_explicit_texture_3d_t(derived.t, color, coord, ushort3(0), __METAL_MEM"
__metal_atomic_store_explicit_texture_buffer_1d_t,method,12,air.atomic_store_explicit_texture_buffer_1d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture_buffer:322: __metal_atomic_store_explicit_texture_buffer_1d_t(derived.t, color, coord, __METAL_MEMO"
__metal_atomic_store_explicit_texture_cube_array_t,method,12,air.atomic_store_explicit_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:1339: __metal_atomic_store_explicit_texture_cube_array_t(derived.t, color, coord, face, a"
__metal_atomic_store_explicit_texture_cube_t,method,12,air.atomic_store_explicit_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:1342: __metal_atomic_store_explicit_texture_cube_t(derived.t, color, coord, face, __METAL_MEMOR"
__metal_calculate_clamped_lod_depth_2d_array_t,method,6,air.calculate.clamped.lod.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d_array:135: return __metal_calculate_clamped_lod_depth_2d_array_t(derived.t, s.val, coord, int(a));"
__metal_calculate_clamped_lod_depth_2d_t,method,6,air.calculate.clamped.lod.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d:135: return __metal_calculate_clamped_lod_depth_2d_t(derived.t, s.val, coord, int(a));"
__metal_calculate_clamped_lod_depth_cube_array_t,method,6,air.calculate.clamped.lod.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube_array:136: return __metal_calculate_clamped_lod_depth_cube_array_t(derived.t, s.val, coord, int(a"
__metal_calculate_clamped_lod_depth_cube_t,method,6,air.calculate.clamped.lod.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube:135: return __metal_calculate_clamped_lod_depth_cube_t(derived.t, s.val, coord, int(a));"
__metal_calculate_clamped_lod_texture_2d_array_t,method,6,air.calculate_clamped_lod_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:140: return __metal_calculate_clamped_lod_texture_2d_array_t(derived.t, s.val, coord, int(a"
__metal_calculate_clamped_lod_texture_2d_t,method,6,air.calculate_clamped_lod_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:142: return __metal_calculate_clamped_lod_texture_2d_t(derived.t, s.val, coord, int(a));"
__metal_calculate_clamped_lod_texture_3d_t,method,6,air.calculate_clamped_lod_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:142: return __metal_calculate_clamped_lod_texture_3d_t(derived.t, s.val, coord, int(a));"
__metal_calculate_clamped_lod_texture_cube_array_t,method,6,air.calculate_clamped_lod_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:143: return __metal_calculate_clamped_lod_texture_cube_array_t(derived.t, s.val, coord, i"
__metal_calculate_clamped_lod_texture_cube_t,method,6,air.calculate_clamped_lod_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:142: return __metal_calculate_clamped_lod_texture_cube_t(derived.t, s.val, coord, int(a));"
__metal_calculate_unclamped_lod_depth_2d_array_t,method,6,air.calculate.unclamped.lod.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d_array:140: return __metal_calculate_unclamped_lod_depth_2d_array_t(derived.t, s.val, coord, int(a))"
__metal_calculate_unclamped_lod_depth_2d_t,method,6,air.calculate.unclamped.lod.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d:140: return __metal_calculate_unclamped_lod_depth_2d_t(derived.t, s.val, coord, int(a));"
__metal_calculate_unclamped_lod_depth_cube_array_t,method,6,air.calculate.unclamped.lod.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube_array:141: return __metal_calculate_unclamped_lod_depth_cube_array_t(derived.t, s.val, coord, int"
__metal_calculate_unclamped_lod_depth_cube_t,method,6,air.calculate.unclamped.lod.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube:140: return __metal_calculate_unclamped_lod_depth_cube_t(derived.t, s.val, coord, int(a));"
__metal_calculate_unclamped_lod_texture_2d_array_t,method,6,air.calculate_unclamped_lod_texture_2d_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d_array:145: return __metal_calculate_unclamped_lod_texture_2d_array_t(derived.t, s.val, coord, int"
__metal_calculate_unclamped_lod_texture_2d_t,method,6,air.calculate_unclamped_lod_texture_2d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture2d:147: return __metal_calculate_unclamped_lod_texture_2d_t(derived.t, s.val, coord, int(a));"
__metal_calculate_unclamped_lod_texture_3d_t,method,6,air.calculate_unclamped_lod_texture_3d,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texture3d:147: return __metal_calculate_unclamped_lod_texture_3d_t(derived.t, s.val, coord, int(a));"
__metal_calculate_unclamped_lod_texture_cube_array_t,method,6,air.calculate_unclamped_lod_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube_array:148: return __metal_calculate_unclamped_lod_texture_cube_array_t(derived.t, s.val, coord,"
__metal_calculate_unclamped_lod_texture_cube_t,method,6,air.calculate_unclamped_lod_texture_cube,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_texturecube:147: return __metal_calculate_unclamped_lod_texture_cube_t(derived.t, s.val, coord, int(a));"
__metal_ceil,free+method,30,air.ceil.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:58: return __metal_ceil(x, __METAL_FAST_MATH__);"
__metal_clamp,free+method,78,air.clamp.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_common:23: return __metal_clamp(x, minval, maxval, __METAL_FAST_MATH__);"
__metal_clear_barrier_compute_command,method,1,air.clear.barrier.compute.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:438: __metal_clear_barrier_compute_command(icb, icb_index);"
__metal_clear_barrier_render_command,method,1,air.clear.barrier.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:1137: __metal_clear_barrier_render_command(icb, icb_index);"
__metal_clz,free+method,48,air.clz.i8,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_integer:31: return __metal_clz(x);
__metal_command_buffer_t,no_callsite,2,air.command.buffer.t,inferred,🧪命名規則からの推測 (probe必須),metal_command_buffer:203: __metal_command_buffer_t t;
__metal_commit_bounding_box_intersection_intersection_query,method,1,air.commit.bounding.box.intersection.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4403: __metal_commit_bounding_box_intersection_intersection_query(
__metal_commit_curve_intersection_intersection_query,method,1,air.commit.curve.intersection.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4396: __metal_commit_curve_intersection_intersection_query(
__metal_commit_triangle_intersection_intersection_query,method,1,air.commit.triangle.intersection.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4389: __metal_commit_triangle_intersection_intersection_query(
__metal_compute_pipeline_state_t,method,1,air.compute.pipeline.state.t,inferred,🧪命名規則からの推測 (probe必須),metal_command_buffer:373: __metal_compute_pipeline_state_t t;
__metal_concurrent_dispatch_threadgroups_compute_command,method,1,air.concurrent.dispatch.threadgroups.compute.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:423: __metal_concurrent_dispatch_threadgroups_compute_command(icb, icb_index, threadgroups_per_grid"
__metal_concurrent_dispatch_threads_compute_command,method,1,air.concurrent.dispatch.threads.compute.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:428: __metal_concurrent_dispatch_threads_compute_command(icb, icb_index, threads_per_grid, threads_"
__metal_copy_compute_command,method,1,air.copy.compute.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:466: __metal_copy_compute_command(icb, icb_index, that.icb, that.icb_index);"
__metal_copy_render_command,method,1,air.copy.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:1149: __metal_copy_render_command(icb, icb_index, that.icb, that.icb_index);"
__metal_cos,free+method,30,air.cos.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:71: return __metal_cos(x, __METAL_FAST_MATH__);"
__metal_cosh,free+method,30,air.cosh.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:75: return __metal_cosh(x, __METAL_FAST_MATH__);"
__metal_cospi,free+method,30,air.cospi.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:80: return __metal_cospi(x, __METAL_FAST_MATH__);"
__metal_ctz,free+method,48,air.ctz.i32,observed_ir,✅AIR実シグネチャをIR解析で確認,metal_integer:35: return __metal_ctz(x);
__metal_depth_2d_array_t,method,3,air.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_array:2187: __metal_depth_2d_array_t t;
__metal_depth_2d_ms_array_t,method,3,air.depth.2d.ms.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms_array:651: __metal_depth_2d_ms_array_t t;
__metal_depth_2d_ms_t,method,3,air.depth.2d.ms.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms:620: __metal_depth_2d_ms_t t;
__metal_depth_2d_t,method,3,air.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d:2157: __metal_depth_2d_t t;
__metal_depth_cube_array_t,method,3,air.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube_array:2176: __metal_depth_cube_array_t t;
__metal_depth_cube_t,method,3,air.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube:2159: __metal_depth_cube_t t;
__metal_depth_stencil_state_t,method,1,air.depth.stencil.state.t,inferred,🧪命名規則からの推測 (probe必須),metal_command_buffer:790: __metal_depth_stencil_state_t s;
__metal_descriptor_size_tensor,no_callsite,1,air.descriptor.size.tensor,inferred,🧪命名規則からの推測 (probe必須),"metal_tensor:1799: [[sizeas(__metal_descriptor_size_tensor(__tensor_detail::__tensor_safe_extents<EXTENTS_TYPE>::rank(),"
__metal_dfdx,method,12,air.dfdx,inferred,🧪命名規則からの推測 (probe必須),metal_graphics:17: return __metal_dfdx(p);
__metal_dfdy,method,12,air.dfdy,inferred,🧪命名規則からの推測 (probe必須),metal_graphics:21: return __metal_dfdy(p);
__metal_discard_fragment,method,1,air.discard.fragment,inferred,🧪命名規則からの推測 (probe必須),metal_graphics:184: __metal_discard_fragment();
__metal_divide,free+method,30,air.divide,inferred,🧪命名規則からの推測 (probe必須),"metal_math:86: return __metal_divide(x, y, __METAL_FAST_MATH__);"
__metal_dot,free+method,15,air.dot.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_geometric:54: return __metal_dot(x, y);"
__metal_draw_indexed_patches_render_command,method,16,air.draw.indexed.patches.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:1018: __metal_draw_indexed_patches_render_command(icb, icb_index, num_patch_control_points, patch_s"
__metal_draw_indexed_primitives_render_command,method,2,air.draw.indexed.primitives.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:953: __metal_draw_indexed_primitives_render_command(icb, icb_index, uint(type), index_count, index_"
__metal_draw_mesh_threadgroups_render_command,method,1,air.draw.mesh.threadgroups.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:1122: __metal_draw_mesh_threadgroups_render_command(icb, icb_index, threadgroups_per_grid, threads_"
__metal_draw_mesh_threads_render_command,method,1,air.draw.mesh.threads.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:1127: __metal_draw_mesh_threads_render_command(icb, icb_index, threads_per_grid, threads_per_object"
__metal_draw_patches_render_command,method,8,air.draw.patches.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:965: __metal_draw_patches_render_command(icb, icb_index, num_patch_control_points, patch_start, pat"
__metal_draw_primitives_render_command,method,1,air.draw.primitives.render.command,inferred,🧪命名規則からの推測 (probe必須),"metal_command_buffer:947: __metal_draw_primitives_render_command(icb, icb_index, uint(type), vertex_start, vertex_count,"
__metal_exp,free+method,30,air.exp.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:91: return __metal_exp(x, __METAL_FAST_MATH__);"
__metal_exp10,free+method,30,air.exp10.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:95: return __metal_exp10(x, __METAL_FAST_MATH__);"
__metal_exp2,free+method,30,air.exp2.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:99: return __metal_exp2(x, __METAL_FAST_MATH__);"
__metal_extract_bits,free+method,48,air.extract.bits,inferred,🧪命名規則からの推測 (probe必須),"metal_integer:40: return __metal_extract_bits(x, offset, bits);"
__metal_fabs,free+method,60,air.fabs.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:26: return __metal_fabs(x, __METAL_FAST_MATH__);"
__metal_fence_texture_1d_array_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texture1d_array:1518: __metal_fence_texture_1d_array_t(derived.t);
__metal_fence_texture_1d_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texture1d:1517: __metal_fence_texture_1d_t(derived.t);
__metal_fence_texture_2d_array_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texture2d_array:2175: __metal_fence_texture_2d_array_t(derived.t);
__metal_fence_texture_2d_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texture2d:2185: __metal_fence_texture_2d_t(derived.t);
__metal_fence_texture_3d_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texture3d:2071: __metal_fence_texture_3d_t(derived.t);
__metal_fence_texture_buffer_1d_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texture_buffer:1182: __metal_fence_texture_buffer_1d_t(derived.t);
__metal_fence_texture_cube_array_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texturecube_array:2194: __metal_fence_texture_cube_array_t(derived.t);
__metal_fence_texture_cube_t,method,6,air.fence_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),__bits/metal_texturecube:2204: __metal_fence_texture_cube_t(derived.t);
__metal_floor,free+method,30,air.floor.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:113: return __metal_floor(x, __METAL_FAST_MATH__);"
__metal_fma,free+method,30,air.fma.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:118: return __metal_fma(x, y, z);"
__metal_fmax,free+method,60,air.fmax.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:123: return __metal_fmax(x, y, __METAL_FAST_MATH__);"
__metal_fmax3,free+method,60,air.fmax3,inferred,🧪命名規則からの推測 (probe必須),"metal_math:128: return __metal_fmax3(x, y, z, __METAL_FAST_MATH__);"
__metal_fmedian3,free+method,60,air.fmedian3,inferred,🧪命名規則からの推測 (probe必須),"metal_math:134: return __metal_fmedian3(x, y, z, __METAL_FAST_MATH__);"
__metal_fmin,free+method,60,air.fmin.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:139: return __metal_fmin(x, y, __METAL_FAST_MATH__);"
__metal_fmin3,free+method,60,air.fmin3,inferred,🧪命名規則からの推測 (probe必須),"metal_math:144: return __metal_fmin3(x, y, z, __METAL_FAST_MATH__);"
__metal_fmod,free+method,30,air.fmod.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:149: return __metal_fmod(x, y, __METAL_FAST_MATH__);"
__metal_fract,free+method,30,air.fract.f16,observed_ir,✅AIR実シグネチャをIR解析で確認,"metal_math:153: return __metal_fract(x, __METAL_FAST_MATH__);"
__metal_frexp,free+method,30,air.frexp,inferred,🧪命名規則からの推測 (probe必須),"metal_math:157: return __metal_frexp(x, &exp);"
__metal_function_handle_t,method,4,air.function.handle.t,inferred,🧪命名規則からの推測 (probe必須),metal_visible_function_table:18: static METAL_FUNC function_handle __get_from_opaque_handle(__metal_function_handle_t f)
__metal_fwidth,method,12,air.fwidth,inferred,🧪命名規則からの推測 (probe必須),metal_graphics:25: return __metal_fwidth(p);
__metal_gather_compare_depth_2d_array_t,method,12,air.gather.compare.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d_array:1670: return __metal_gather_compare_depth_2d_array_t(derived.t, s.val, coord, array, compare_"
__metal_gather_compare_depth_2d_t,method,12,air.gather.compare.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d:1670: return __metal_gather_compare_depth_2d_t(derived.t, s.val, coord, compare_value, true, offset"
__metal_gather_compare_depth_cube_array_t,method,12,air.gather.compare.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube_array:1659: return __metal_gather_compare_depth_cube_array_t(derived.t, s.val, coord, array, comp"
__metal_gather_compare_depth_cube_t,method,12,air.gather.compare.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube:1672: return __metal_gather_compare_depth_cube_t(derived.t, s.val, coord, compare_value, int(a), "
__metal_gather_depth_2d_array_t,method,12,air.gather.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d_array:1571: return __metal_gather_depth_2d_array_t(derived.t, s.val, coord, array, true, offset, in"
__metal_gather_depth_2d_t,method,12,air.gather.depth.2d.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depth2d:1571: return __metal_gather_depth_2d_t(derived.t, s.val, coord, true, offset, int(a), static_cast<t"
__metal_gather_depth_cube_array_t,method,12,air.gather.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube_array:1560: return __metal_gather_depth_cube_array_t(derived.t, s.val, coord, array, int(a), stat"
__metal_gather_depth_cube_t,method,12,air.gather.depth.cube.t,inferred,🧪命名規則からの推測 (probe必須),"__bits/metal_depthcube:1573: return __metal_gather_depth_cube_t(derived.t, s.val, coord, int(a), static_cast<thread bool"
__metal_gather_texture_2d_array_t,method,12,air.gather_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),"__bits/metal_texture2d_array:1115: return __metal_gather_texture_2d_array_t(derived.t, s.val, coord, array, true, offset"
__metal_gather_texture_2d_t,method,12,air.gather_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),"__bits/metal_texture2d:1127: return __metal_gather_texture_2d_t(derived.t, s.val, coord, true, offset, int(cmpt), int(a)"
__metal_gather_texture_cube_array_t,method,12,air.gather_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),"__bits/metal_texturecube_array:1142: return __metal_gather_texture_cube_array_t(derived.t, s.val, coord, array, int(cmpt"
__metal_gather_texture_cube_t,method,12,air.gather_,observed_airconv,🔶AIR名をairconvで確認 (型suffix等要実測),"__bits/metal_texturecube:1145: return __metal_gather_texture_cube_t(derived.t, s.val, coord, int(cmpt), int(a), static_c"
__metal_get_array_size_depth_2d_array_t,method,6,air.get.array.size.depth.2d.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_array:1807: return __metal_get_array_size_depth_2d_array_t(derived.t);
__metal_get_array_size_depth_2d_ms_array_t,method,6,air.get.array.size.depth.2d.ms.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depth2d_ms_array:271: return __metal_get_array_size_depth_2d_ms_array_t(derived.t);
__metal_get_array_size_depth_cube_array_t,method,6,air.get.array.size.depth.cube.array.t,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_depthcube_array:1796: return __metal_get_array_size_depth_cube_array_t(derived.t);
__metal_get_array_size_texture_1d_array_t,method,6,air.get_array_size_texture_1d_array,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture1d_array:1569: return __metal_get_array_size_texture_1d_array_t(derived.t);
__metal_get_array_size_texture_2d_array_t,method,6,air.get_array_size_texture_2d_array,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_array:2231: return __metal_get_array_size_texture_2d_array_t(derived.t);
__metal_get_array_size_texture_2d_ms_array_t,method,6,air.get_array_size_texture_2d_ms_array,observed_ir,✅AIR実シグネチャをIR解析で確認,__bits/metal_texture2d_ms_array:278: return __metal_get_array_size_texture_2d_ms_array_t(derived.t);
__metal_get_array_size_texture_cube_array_t,method,6,air.get_array_size_texture_cube_array,inferred,🧪命名規則からの推測 (probe必須),__bits/metal_texturecube_array:2250: return __metal_get_array_size_texture_cube_array_t(derived.t);
__metal_get_buffer_intersection_function_table,method,12,air.get.buffer.intersection.function.table,inferred,🧪命名規則からの推測 (probe必須),"metal_raytracing:1641: return __metal_get_buffer_intersection_function_table(t, index, T());"
__metal_get_candidate_curve_distance_intersection_query,method,1,air.get.candidate.curve.distance.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4464: return __metal_get_candidate_curve_distance_intersection_query(
__metal_get_candidate_curve_parameter_intersection_query,method,1,air.get.candidate.curve.parameter.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4335: return __metal_get_candidate_curve_parameter_intersection_query(
__metal_get_candidate_geometry_id_intersection_query,method,1,air.get.candidate.geometry.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4477: return __metal_get_candidate_geometry_id_intersection_query(
__metal_get_candidate_instance_count_intersection_query,method,1,air.get.candidate.instance.count.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4197: return __metal_get_candidate_instance_count_intersection_query(
__metal_get_candidate_instance_id_intersection_query,method,2,air.get.candidate.instance.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4116: return __metal_get_candidate_instance_id_intersection_query(
__metal_get_candidate_intersection_type_intersection_query,method,1,air.get.candidate.intersection.type.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4451: __metal_get_candidate_intersection_type_intersection_query(
__metal_get_candidate_object_to_world_transform_intersection_query,method,2,air.get.candidate.object.to.world.transform.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4131: __metal_get_candidate_object_to_world_transform_intersection_query(
__metal_get_candidate_primitive_data_intersection_query,method,1,air.get.candidate.primitive.data.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4490: return __metal_get_candidate_primitive_data_intersection_query(
__metal_get_candidate_primitive_id_intersection_query,method,1,air.get.candidate.primitive.id.intersection.query,inferred,🧪命名規則からの推測 (probe必須),metal_raytracing:4483: return __metal_get_candidate_primitive_id_intersection_query(
